INSTNM,CITY,STABBR,ZIP,INSTURL
The University of Texas MD Anderson Cancer Center,Houston,TX,77030-4009,www.mdanderson.org
University of Phoenix-Las Vegas Campus,Las Vegas,NV,89135-3047,www.phoenix.edu
Carousel Beauty College-Springfield,Springfield,OH,45504,www.carouselbeauty.com
Carousel Beauty College-Kettering,Kettering,OH,45420,www.CarouselBeauty.com
Paul Mitchell the School-Huntsville,Madison,AL,35805,www.pmtshuntsville.com
Estes Institute of Cosmetology Arts and Science,Visalia,CA,93291,www.estescosmetology.com
Baldwin Park Adult & Community Education,Baldwin Park,CA,91706-4221,www.bpace.k12.ca.us
Ventura Adult and Continuing Education,Ventura,CA,93003-0000,www.AdultEdVentura.edu
Marinello Schools of Beauty-Sacramento,Sacramento,CA,95841, National Accrediting Commission of Career Arts and Sciences
Marinello School of Beauty-Concord,Concord,CA,94520, National Accrediting Commission of Career Arts and Sciences
Marinello School of Beauty,Stockton,CA,95203, National Accrediting Commission of Career Arts and Sciences
Albert I Prince Technical High School,Hartford,CT,6106,www.cttech.org/prince/
Bullard-Havens Technical High School,Bridgeport,CT,6610,www.cttech.org/bullard-havens/index.htm
Howell Cheney Technical High School,Manchester,CT,6040,www.cttech.org/cheney
Connecticut Aero Tech School,Hartford,CT,6114,NULL
W F Kaynor Technical High School,Waterbury,CT,6708,cttech.org/kaynor
Platt Technical High School,Milford,CT,6460,www.cttech.org/platt
College of Business and Technology-Kendall,Miami,FL,33193,www.cbt.edu
City College-Altamonte Springs,Altamonte Springs,FL,32714,www.citycollege.edu
Augusta Area Dietetic Internship-University Hospital,Augusta,GA,30901-2629,www.universityhealth.org
Empire Beauty School-Dunwoody,Dunwoody,GA,30338,www.empire.edu
Cobb Beauty College Inc,Kennesaw,GA,30144-2828,www.cobbbeautycollege.edu
Career Center of Southern Illinois,Red Bud,IL,62278,www.gotoccsi.org
Xenon International Academy-Wichita,Wichita,KS,67203,www.xenonacademy.com
